name,description
羽球館,有年代的建築
綜合球館,操場旁的白色建築
體育館,白色長方形建築
竹軒宿舍,米色建築
科學一館,米色建築
中正堂,深黃色建築
工程一館,白色建築
管理一館,竹湖旁的白色建築
工程三館,白色建築
工程四館,白色建築
科學二館,白色建築
綜合一館,有斜坡的米色建築
管理二館,白色建築
工程六館,白色建築
電子資訊大樓,門口有荷花池的米色建築
人社二舘,黃色建築
浩然圖書資訊中心,設計感強的多層米色建築
工程五館,黃色建築
學生八舍,女二餐旁的宿舍
交映樓,黃色與白色複合的建築
田家炳光電大樓,灰色水泥複合玻璃的建築
資訊技術服務中心,小木屋旁的建築
女二舍A棟,女二餐上的宿舍
女二舍B棟,女二餐上的宿舍
防災工程研究中心,研三舍附近的偏僻建築
人社一館,有紅磚的白色建築
行政大樓,紅磚建築
環境工程研究所,交清小徑旁的鵝黃色建築
學生七舍,女二餐附近的宿舍
水質淨化廠,交清小徑旁的鵝黃色建築
學生九舍,黃色建築
交誼廳與自習室,
研一舍,黃色建築
學生十舍,黃色建築
學生十一舍,黃色建築
研二舍,灰色建築
學十二舍,灰色建築
學生十三舍,紅色與灰色建築
固態電子系統大樓,建築
第三招待所,建築
土木結構實驗室,灰色建築
服務大樓,小木屋旁的建築
人社三館,灰色建築
司令台,司令台
游泳館,白色與水藍色建築
奈米電子研究大樓,白色建築
奈米電子研究大樓,白色建築
工程二館,白色建築
第二餐廳,三層樓灰色綜合餐館
學生活動中心,白色建築
茶曇,三層樓灰色綜合餐館
拉亞漢堡,三層樓灰色綜合餐館
Morning House早餐,早餐店
阿嬤の飯桶,三層樓灰色綜合餐館
北大門,有國立陽明交通大學黃金字樣的校區入口
研三舍,有餐廳的白色建築
小木屋鬆餅,小型木屋建築
24k,設計感強的多層米色建築
南大門,有國立陽明交通大學黃金字樣的校區入口
科學三館,白色建築